user_id,target_type,target_id,vote_type
USER001,POST,P002,UPVOTE
USER002,POST,P001,UPVOTE
USER003,POST,P001,DOWNVOTE
USER004,POST,P002,UPVOTE
USER005,POST,P002,DOWNVOTE
USER006,COMMENT,1,UPVOTE
USER007,COMMENT,2,UPVOTE
USER001,COMMENT,3,UPVOTE
USER002,COMMENT,3,DOWNVOTE
USER003,COMMENT,2,UPVOTE
USER004,POST,P003,UPVOTE
USER005,POST,P003,UPVOTE
USER006,POST,P003,UPVOTE
USER007,POST,P003,DOWNVOTE
USER001,COMMENT,1,UPVOTE
USER002,COMMENT,1,DOWNVOTE
USER003,COMMENT,1,DOWNVOTE
USER004,POST,P004,UPVOTE
USER005,POST,P004,UPVOTE
USER006,COMMENT,3,DOWNVOTE
